"Producer"@"Title"
"Steff", Stefanie Oxmann Mcgaha@Night of the Demons
"Steff", Stefanie Oxmann Mcgaha@The Bad Lieutenant: Port of Call - New Orleans
& Ashour, Lucienne@A Woman of Distinction
& Ashour, Lucienne@Around the World
& Ashour, Lucienne@Chain Lightning
& Ashour, Lucienne@O-Kay for Sound
& Ashour, Lucienne@"Cabaret"
& Ashour, Lucienne@"Four Star Revue"
& Ashour, Lucienne@"Music-Hall"
& Ashour, Lucienne@"Variety"
& Company, Monica Bill Barnes@This American Life Live!
&Aacutelvarez, Michelle@Mímesis
